loan_id,origination_date,borrower_id,loan_amount,interest_rate,loan_term_months,credit_score,debt_to_income_ratio,loan_purpose,loan_status,annual_income,state
1,2020-07-30,1954,176969.22,11.05,84,683.0,0.1095,Business,Current,448191.62,WA
2,2018-04-01,749,43989.81,9.6,84,681.0,0.5161,Personal,Paid Off,350439.29,AZ
3,2017-08-14,195,35943.17,11.42,36,666.0,0.3262,Home Improvement,Default,34495.31,GA
4,2016-06-15,963,23590.86,10.22,84,699.0,0.3966,Auto,Paid Off,67856.37,MA
5,2020-01-06,1326,15117.06,6.8,120,701.0,0.3029,Education,Current,433764.91,FL
6,2018-08-26,171,20404.76,9.67,60,,0.5226,Auto,Paid Off,41631.23,MN
7,2020-03-05,1653,49797.17,12.6,60,660.0,0.3154,Auto,Paid Off,135574.69,NY
8,2019-09-11,648,49375.99,12.69,36,683.0,0.5436,Education,Current,431209.99,NJ
9,2023-07-15,2038,11141.28,18.78,60,587.0,0.3051,Personal,Current,564470.09,PA
10,2023-01-06,1138,45932.78,8.64,120,744.0,0.4701,Personal,Current,433583.36,NJ
11,2023-12-24,2486,47461.96,6.76,36,706.0,0.5126,Home Improvement,Current,41642.1,NC
12,2020-03-16,2026,37343.75,9.54,36,,0.3578,Auto,Current,548600.59,NY
13,2023-09-02,531,32538.87,17.43,60,614.0,0.4698,Auto,Paid Off,27389.48,PA
14,2017-12-05,1456,72020.08,13.1,84,665.0,0.526,Home Improvement,Paid Off,399053.43,NY
15,2023-01-02,2107,51803.25,10.39,60,652.0,0.5104,Auto,Paid Off,563227.55,FL
16,2022-11-05,252,32667.61,16.43,120,581.0,0.5466,Personal,Current,28859.29,CT
17,2018-05-16,2499,47807.34,14.79,36,586.0,0.273,Auto,Paid Off,387869.04,NY
18,2018-07-23,1331,26257.23,11.77,36,698.0,0.2076,Education,Paid Off,638607.58,NJ
19,2016-01-28,2468,52981.52,5.8,60,775.0,0.3132,Auto,Paid Off,27888.76,NY
20,2023-10-06,322,42541.33,7.05,84,838.0,0.1591,Personal,Current,30020.49,NY
21,2019-01-21,1602,47606.29,9.73,84,742.0,0.1744,Personal,Current,25590.68,NY
22,2019-09-27,1736,65535.07,14.82,36,628.0,0.3103,Home Improvement,Paid Off,153334.32,NJ
23,2023-06-22,135,42839.99,18.41,84,588.0,0.4746,Home Improvement,Delinquent,39780.43,GA
24,2017-03-22,1390,74389.77,12.27,36,695.0,0.3892,Home Improvement,Current,77845.2,NJ
25,2017-10-28,499,47606.07,15.73,36,521.0,0.496,Personal,Delinquent,223293.18,PA
26,2023-11-05,1084,18116.75,18.92,60,600.0,0.4397,Home Improvement,Current,331732.4,CT
27,2021-03-19,1624,71517.38,19.96,60,511.0,0.2448,Home Improvement,Current,566441.21,DE
28,2023-02-04,1594,45088.39,20.56,60,607.0,0.265,Home Improvement,Current,54811.16,NY
29,2020-06-06,1750,18319.81,14.41,60,526.0,0.4898,Education,Default,270992.05,FL
30,2022-03-23,858,18979.02,9.87,60,749.0,0.204,Home Improvement,Current,303671.32,PA
31,2023-03-04,1743,372931.69,13.76,84,628.0,0.2373,Business,Current,37821.78,PA
32,2018-02-15,2488,41928.61,12.45,84,652.0,0.2889,Auto,Current,45209.14,TX
33,2025-01-17,2367,55920.17,9.91,60,730.0,0.4285,Auto,Delinquent,37299.78,MD
34,2020-04-15,57,23889.37,8.84,36,710.0,0.261,Home Improvement,Current,30736.99,FL
35,2019-02-02,444,395610.56,8.82,36,740.0,0.2019,Business,Current,642163.02,NJ
36,2024-09-08,325,11196.88,20.23,120,613.0,0.3542,Auto,Current,316392.9,MA
37,2016-03-25,439,40980.98,18.06,36,589.0,0.2046,Home Improvement,Delinquent,37416.1,DE
38,2021-04-15,2012,5981.32,10.03,120,679.0,0.288,Personal,Current,34307.68,PA
39,2022-09-15,45,5512.8,7.77,60,706.0,0.1168,Personal,Current,37155.19,GA
40,2022-10-05,1005,51018.58,17.66,36,518.0,0.2462,Auto,Current,30291.98,NJ
41,2017-08-17,1654,73051.16,9.45,84,703.0,0.3753,Education,Current,31661.15,IL
42,2018-05-26,621,15375.59,17.05,36,610.0,0.427,Personal,Delinquent,36509.28,Pennsylvania
43,2020-03-05,1469,23542.35,9.69,36,683.0,0.2093,Home Improvement,Current,38040.01,PA
44,2020-05-22,2342,34406.51,6.97,60,784.0,0.2884,Personal,Current,37475.57,PA
